Name,Qty,Final Price- INR (USD),Link
Gateron EF Grayish,80,1560 ($18.19),https://neomacro.in/products/gateron-ef-grayish
Durock Smokey Screw-In Stabilizers V2,1,1595 ($18.58),https://stackskb.com/store/durock-smokey-screw-in-stabilizers-v2/
Cherry Profile PBT Keycaps,1,1300 ($15.15),https://stackskb.com/store/veekos-gradient-keycaps-cherry-profile-135-keys
Diode 1N4148 Through – Hole,100,100 ($1.17),https://amzn.in/d/j3eLvoh
EC11 Rotary Encoder,2,178 ($2.08),https://amzn.in/d/hVRxzij
M3 x 20mm Bolt,15,149 ($1.73),https://amzn.in/d/8GRQWAB
M3 Nuts,8,100 ($1.16),https://amzn.in/d/7UQtsm8
M3 x 5mm Heatset Insert,25,179 ($2.09),https://amzn.in/d/ixybuAc
Raspberry Pi Pico,1,449 ($5.19),https://www.amazon.in/Raspberry-Pi-Headers-Soldered-Micro/dp/B08WPNM7JB/ref=sr_1_2?sr=8-2
PCB,5,6683 ($77.78),
Top Case,1,Print Legion,
Bottom Case,1,Print Legion,
Middle Plate,1,Print Legion,
